start_time,open_price,high_price,low_price,close_price,volume,turnover,category,symbol,interval,resistance,support
1725836400000,54535.04,54981.8,54448.48,54877.92,654.758483,35885127.96020839,spot,BTCUSDT,60,58130.24,54448.48
1725832800000,54463.88,55324.49,54365.12,54535.04,1505.990069,82593666.39761057,spot,BTCUSDT,60,58130.24,54365.12
1725829200000,54385.64,54636.29,54325.0,54463.88,487.145795,26542830.99752703,spot,BTCUSDT,60,58130.24,54325.0
1725825600000,54338.54,54391.51,54187.02,54385.64,459.139725,24931020.94768881,spot,BTCUSDT,60,58130.24,54187.02
1725822000000,54417.72,54485.29,54312.89,54338.54,355.174233,19319735.61385389,spot,BTCUSDT,60,58130.24,54187.02
1725818400000,54503.86,54537.9,54273.7,54417.72,496.323146,26990232.83621541,spot,BTCUSDT,60,58130.24,54187.02
1725814800000,53913.11,54524.6,53902.01,54503.86,745.223174,40410671.30782186,spot,BTCUSDT,60,58130.24,53902.01
1725811200000,53693.57,54031.35,53628.06,53913.11,664.116857,35762326.96055639,spot,BTCUSDT,60,58130.24,53628.06
1725807600000,54141.28,54196.52,53649.59,53693.57,1241.97424,67007332.32338732,spot,BTCUSDT,60,58130.24,53628.06
1725804000000,54395.07,54446.03,54045.9,54141.28,790.841862,42874759.94599325,spot,BTCUSDT,60,58130.24,53628.06
1725800400000,54203.8,54406.11,54072.02,54395.07,632.267188,34296959.83000492,spot,BTCUSDT,60,58130.24,53628.06
1725796800000,54560.27,54571.99,54112.25,54203.8,697.735543,37940927.34154114,spot,BTCUSDT,60,58130.24,53628.06
1725793200000,54602.0,54676.54,54512.0,54560.27,418.602325,22854443.76142044,spot,BTCUSDT,60,58130.24,53628.06
1725789600000,54454.63,54651.48,54444.29,54602.0,403.877049,22040910.85801004,spot,BTCUSDT,60,58130.24,53628.06
1725786000000,54485.91,54728.53,54454.63,54454.63,730.520799,39872135.30329072,spot,BTCUSDT,60,58130.24,53628.06
1725782400000,54443.59,54494.0,54352.27,54485.91,490.547867,26693977.19448913,spot,BTCUSDT,60,58130.24,53628.06
1725778800000,54290.11,54532.73,54290.11,54443.59,624.260334,33994025.6642071,spot,BTCUSDT,60,58130.24,53628.06
1725775200000,54344.0,54427.76,54259.12,54290.11,383.238716,20829663.83351504,spot,BTCUSDT,60,58130.24,53628.06
1725771600000,54494.56,54523.47,54331.78,54344.0,486.455358,26490512.57024412,spot,BTCUSDT,60,58130.24,53628.06
1725768000000,54397.45,54578.6,54366.01,54494.56,501.919125,27327916.67598395,spot,BTCUSDT,60,58130.24,53628.06
1725764400000,54338.0,54407.98,54258.01,54397.45,331.05413,17986624.83758852,spot,BTCUSDT,60,58130.24,53628.06
1725760800000,54275.49,54510.54,54272.96,54338.0,571.935018,31102234.62218965,spot,BTCUSDT,60,58130.24,53628.06
1725757200000,54145.93,54365.8,54131.01,54275.49,480.58201,26068921.77501999,spot,BTCUSDT,60,58130.24,53628.06
1725753600000,54164.51,54187.99,53966.01,54145.93,677.197892,36635999.93878471,spot,BTCUSDT,60,58130.24,53628.06
1725750000000,53958.5,54215.23,53809.51,54164.51,640.556576,34602854.46280453,spot,BTCUSDT,60,58130.24,53628.06
1725746400000,53928.09,54090.68,53864.49,53958.5,543.640332,29343380.99837996,spot,BTCUSDT,60,58130.24,53628.06
1725742800000,54160.06,54193.95,53862.84,53928.09,633.419891,34242159.87725534,spot,BTCUSDT,60,57192.15,53628.06
1725739200000,54402.07,54440.44,54160.06,54160.06,1079.201546,58587806.62487133,spot,BTCUSDT,60,57192.15,53628.06
1725735600000,54292.0,54463.01,54230.19,54402.07,955.373131,51927565.69454249,spot,BTCUSDT,60,56780.91,53628.06
1725732000000,54134.13,54401.76,54037.34,54292.0,912.798262,49512190.95246278,spot,BTCUSDT,60,56780.91,53628.06
1725728400000,54469.01,54543.99,53997.3,54134.13,1029.795276,55940810.10171788,spot,BTCUSDT,60,56529.8,53628.06
1725724800000,54780.01,54851.34,54438.31,54469.01,1070.184667,58475976.24083187,spot,BTCUSDT,60,55809.1,53628.06
1725721200000,54629.55,54834.99,54593.3,54780.01,1296.544156,70961850.70828815,spot,BTCUSDT,60,55809.1,53628.06
1725717600000,54550.33,54692.99,54484.02,54629.55,1143.348466,62428799.51724088,spot,BTCUSDT,60,55809.1,53628.06
1725714000000,54581.72,54663.59,54402.29,54550.33,1320.501881,72043897.49214166,spot,BTCUSDT,60,55563.96,53628.06
1725710400000,54333.42,54663.59,54333.42,54581.72,1041.952921,56796654.74699114,spot,BTCUSDT,60,55563.96,53628.06
1725706800000,54350.74,54500.0,54287.67,54333.42,923.925943,50248690.17003188,spot,BTCUSDT,60,55563.96,53628.06
1725703200000,54248.02,54460.2,54243.7,54350.74,726.334868,39481200.53027444,spot,BTCUSDT,60,55563.96,53628.06
1725699600000,54380.71,54420.4,54176.22,54248.02,748.146168,40606067.44082275,spot,BTCUSDT,60,55376.91,53628.06
1725696000000,54284.0,54398.29,54188.3,54380.71,991.270488,53827930.81253016,spot,BTCUSDT,60,55376.91,53628.06
1725692400000,54312.44,54402.96,54182.01,54284.0,1235.455649,67070246.72757155,spot,BTCUSDT,60,55376.91,53628.06
1725688800000,54180.09,54382.95,54037.53,54312.44,930.71402,50434573.17487584,spot,BTCUSDT,60,55376.91,53628.06
